Date: 10/12/2015
Time: 14:39:08
Cores: 7
Random data: True
# of trials: 100

======================================

36213 ms
35019 ms
35602 ms
35284 ms
35234 ms
36103 ms
34279 ms
35206 ms
35676 ms
35808 ms
36103 ms
35602 ms
35950 ms
35973 ms
35938 ms
35883 ms
35541 ms
36241 ms
36123 ms
35231 ms
35379 ms
34869 ms
36628 ms
35511 ms
36939 ms
35568 ms
35671 ms
34590 ms
36231 ms
35480 ms
34292 ms
36569 ms
36775 ms
37346 ms
36795 ms
35444 ms
35245 ms
36490 ms
36671 ms
35461 ms
35611 ms
36039 ms
35928 ms
35564 ms
35301 ms
36181 ms
36442 ms
34829 ms
35365 ms
35924 ms
36258 ms
34826 ms
35568 ms
35927 ms
36740 ms
35824 ms
34688 ms
34904 ms
35489 ms
35198 ms
36218 ms
36318 ms
35231 ms
36147 ms
36642 ms
36476 ms
34711 ms
37040 ms
35502 ms
35095 ms
36441 ms
35882 ms
35898 ms
36387 ms
36258 ms
35971 ms
35508 ms
34723 ms
36068 ms
36324 ms
36125 ms
36753 ms
35327 ms
35340 ms
36183 ms
36809 ms
35476 ms
35921 ms
36564 ms
35545 ms
35980 ms
35964 ms
35296 ms
35863 ms
35004 ms
37088 ms
35292 ms
36534 ms
36314 ms
35484 ms

======================================

Average: 35812.71 ms
Minimum: 34279 ms
Maximum: 37346 ms
Standard deviation: 638.937591553 ms
